line_text,speaker
"Okay, Meredith is up first. Here's the deal. You can either pick a new gift or you can steal somebody else's gift that they've already gotten, like the oven mitt.",Michael
I'll take the teapot.,Meredith
"Oh, shouldn't we ... I bought that specifically for Pam.",Jim
"Yankee Swap! That's what makes it fun. Pam, you can steal the oven mitt now.",Michael
I'll take the iPod.,Pam
And I have to give it to her? I don't have a choice?,Ryan
"Yes, now you can steal the oven mitt, the old shirt or the shower radio or pick a new gift.",Dwight
[after Ryan opens a new gift - a nameplate saying 'Kelly'] That was meant for Kelly.,Stanley
"Yeah, I figured.",Ryan
I think this is going great.,Michael
[unwrapping the poster] Yikes.,Kelly
"Well, it's for Angela, so ..",Toby
"That's like, the creepiest thing that I've ever seen.",Kelly
"Angela, you're up.",Dwight
I'll take the poster. Some people like these.,Angela
I will steal the iPod.,Kelly
Everyone wants the iPod. It's a huge hit. It is almost a Christmas miracle.,Michael
"Oh, well, Oscar, you little gourmand, you have the next turn.",Michael
I'll take the ... teapot.,Oscar
Damn it.,Meredith
"Okay, moving along. Meredith, let's go.",Dwight
I really want the iPod.,Meredith
It's already been stolen this round. Pick something else.,Dwight
"[holding oven mitt] I hope nobody takes this baby, cause this is great. Wow, look at that fine craftsmanship. Somebody really put a lot of work into that. It's beautiful.",Michael
I'll take the oven mitt.,Meredith
"Sucker! See, I wanted somebody to take it. Boom! Reverse psychology.",Michael
"Reverse psychology is an awesome tool. I don't know if you guys know about it, but basically you make someone think the opposite of what you believe and that tricks them into doing something stupid. Works like a charm.",Michael
"[opens present] 'In addition to these paintball pellets, your gift includes two paintball lessons with Dwight Schrute.'",Michael
"You and me, Michael. Yes!",Dwight
Who wants to take paintball lessons? How is that better than an iPod?,Michael
I never said it was better than an iPod.,Dwight
"Michael keeps bragging about his iPod, but you know what? Two paintball lessons with someone as experienced as I am is worth easily, like, 2 grand.",Dwight
"[shooting paintball gun at target] Take that, Saddam!",Dwight
Last gift. Kevin.,Michael
I want the foot bath.,Kevin
"That's the thing I bought myself. I'm really psyched to use it. [pauses] Maybe I should have taken the iPod. Oh, shoot.",Kevin
"Pam, steal something or pick the final gift.",Dwight
I want the iPod.,Pam
Damn it.,Kelly
Sure you don't want the teapot?,Jim
"Well, I mean, it's an iPod. But ..",Pam
Right.,Jim
"Sorry, I ..",Pam
No. No. Definitely. It's ..,Jim
"Okay, well, I guess I will take that book of short stories.",Kelly
Yes! There you go. I want the teapot. Gracias.,Dwight
Got to be kidding me.,Jim
Yankee Swap is like Machiavelli meets ... Christmas.,Dwight
[after Phyllis leaves suddenly] What is she so upset about?,Michael
Maybe because you hated her present so much.,Pam
Come on! I think that Yankee Swap was a big hit! I think it's a success and I'm the one who ended up with Dwight's stupid paintball pellets.,Michael
"Yeah, but, Michael, the point is that we all bought gifts for specific people.",Jim
And you should have just bought a $20 gift like everyone else.,Stanley
"Well, I didn't. I got a big bonus because I fired Devon, and I used the money to buy something awesome. Sue me!",Michael
You got a bonus check?,Oscar
How much?,Pam
"It wasn't. It wasn't that much. It was $3,000.",Michael
"All right, I'm done now.",Stanley
"Unbelievable. I do the nicest thing that anyone has ever done for these people and they freak out. Well, happy birthday, Jesus. Sorry your party's so lame.",Michael
It comes to $166.41.,Liquor Store Clerk
"All right, now, you're the expert. Is this enough to get 20 people plastered?",Michael
"Fifteen bottles of vodka? Yeah, that should do it.",Liquor Store Clerk
"Cool, cool. Box it up.",Michael
"I bought this teapot for Pam, and I know she really wants it. So, can I trade you for it?",Jim
No trades.,Dwight
"Come on, it's a shamrock keychain. Good luck.",Jim
A real man makes his own luck.' Billy Zane.,Dwight
"Look, it has sentimental value, Dwight. Can I buy it from you?",Jim
No. I want it. I'm going to use it.,Dwight
You don't even drink tea.,Jim
"True. But I get sinus infections, and sinus infections can be cured by making your tea from green tea leaf stems ..",Dwight
Okay ..,JIm
".. and pouring it directly into your nose, like so. [demonstrates]",Dwight
"To think that my gift for Pam will be used for that, it's a little too much to handle.",Jim
This is awesome.,Roy
I know. It's totally going to change the way I work out.,Pam
"Yeah, I was gonna get you one of these for Christmas, and now I don't have to. I'm gonna save a ton of money.",Roy
So what are you going to get me instead?,Pam
"I don't know. Probably like, a sweater or something.",Roy
Uh-oh. Looks like Santa was a little naughty.,Michael
What is that?,Angela
"This is Christmas spirit, as in spirits, booze.",Michael
We can drink?,Meredith
We're really not supposed to serve alcohol.,Toby
"Zip it, Toby! Just .. I mean, it's a party. Come on. If I can't throw a good party for my employees, then I am a terrible boss. Who wants a drink?",Michael
Me. Please.,Meredith
"Go, here we go!",Michael
"The deal is that this is my last hurrah, cause I made a New Year's resolution that I'm not going to drink anymore. During the week.",Meredith
Hi guys.,Phyllis
Hey.,Ryan
"Does everybody know my boyfriend, Bob Vance?",Phyllis
Kevin Malone.,Kevin
"Bob Vance, Vance Refrigeration.",Bob Vance
Stanley Hudson.,Stanley
"Bob Vance, Vance Refrigeration.",Bob Vance
Ryan Howard.,Ryan
"Bob Vance, Vance Refrigeration.",Bob Vance
"What line of work you in, Bob?",Ryan
"I think after I lost Culpepper and T.O it was over, man.",Roy
"Oh, yeah, I need McMahon, Deion Branch to have big games or else I'm done.",Darryl
"It's possible. I can't believe you traded Shaun Alexander, man.",Roy
I had to. I needed defense.,Darryl
Come on! Shaun Alexander? He's the best back in the league.,Roy
It's defense.,Darryl
"Oh, no. That is not worth it.",Roy
It is worth it.,Darryl
Never.,Roy
Are you kidding? You wait.,Darryl
"Anybody making out in here? [checks hallway] Not yet, give it time. Oh, hey, Ebenezer, boink. [takes picture of Jim] Okay, how's it going in here? [takes picture of Meredith and Kevin]",Michael
We're running low on cups. Do you want me to just run out and get some?,Ryan
There should be some ..,Angela
"No, no, no, no. We'll find some, don't leave the party.",Michael
"One, two, three. [do a shot]","Phyllis, Meredith, Michael, Kevin"
"Kudos to Ryan, king of the party committee.",Michael
"Oh, no.",Ryan
"Yeah, yeah, yeah.",Michael
I really did not do anything.,Ryan
"Oh, no, no. No false modesty, my friend.",Michael
"You know, you don't have to answer calls during a party. Just thought you should know.",Jim
"[laughs] No, I was just checking out my present. [holds up teapot]",Pam
But ..,Jim
"I traded with Dwight. Just, I figured, you know, you went to a lot of trouble and it means a lot. And also, Roy got me an iPod or was going to get me an iPod, so ..",Pam
"Well, either way. This is an amazing gift because it comes with bonus gifts. Look inside.",Jim
[opens teapot] Oh my god! The yearbook picture!,Pam
"Yeah, I think I made the right choice.",Pam
"Oh, my God! It's incredible. [Jim reaches and steals his card back before she can notice it] Is this the Boggle timer?",Pam
I didn't think you were going to get that one. I really didn't.,Jim
This is so awesome.,Dwight
"Not bad. And if it couldn't go to Ryan, you are the guy I'd want it to go to.",Michael
Thank you.,Dwight
You're welcome.,Michael
"[grabbing Michael around the neck] Merry Christmas, asswipe!",Todd Packer
"No way. Oh, you're kidding me. Packer! Yes! Todd Packer, ladies and gentlemen!",Michael
[rapping] What's up my nerds. Check it out. [points at the mistletoe stuck down his pants],Todd Packer
"Oh, no, no. Oh look at that. Icing on the cake.",Michael
Pacman need a drinky.,Todd Packer
"Oh, let's fix you up. Who wants to fix up .. Toby. Toby's gonna fix you up.",Michael
[listening to music through headphones] Yeahhh.,Kevin
Darryl. There you go. [hands him the Santa hat] You earned it.,Michael
"That's okay, Mike.",Darryl
"No, no, no, no. I really, really want you to have it.",Michael
"All right. Thanks, man.",Darryl
"Hey, Merry Christmas.",Michael
[looking at Xeroxed butt pictures] Whose butt is that?,Ryan
Mine.,Kevin
"Oh, how did I not guess that?",Ryan
[coming out of his office] Lampshade on head! It's happening!,Michael
"[as Jim decorates a passed out Todd Packer] Oh, no.",Creed
Hey.,Kelly
"Oh, hello there. [Kelly leans up and kisses him] But what are you doing?",Dwight
I don't know.,Kelly
You shouldn't do things like that. The man is supposed to do that.,Dwight
"Thanks for the party, Michael.",Kevin
Yeah.,Meredith
"Oh, hey. Listen up. We're going to Poor Richard's. Who's in?",Bob Vance
I'm in.,Oscar
Yes.,Dwight
Michael? Poor Richard's?,Oscar
"Yeah, that sounds good.",Michael
"Christmas is awesome. First of all, you get to spend time with people you love. Secondly, you can get drunk and no one can say anything. Third, you give presents. What's better than giving presents? And fourth, getting presents. So, four things. Not bad for one day. It's really the greatest day of all time.",Michael
"Hey, Meredith. Heading over to Poor Richard's?",Michael
Yep.,Meredith
"Cool, cool, cool. Do you need a ride? [Meredith drops her top. Michael takes a picture] All right, let's head out. Sounds good. Do you have a coat?",Michael
Yeah.,Meredith
Okay!,Michael
Towards me.,Oscar
Okay.,Creed
"Towards me. That's good, towards me. Towards me. Towards me, towards me. Okay, I'm good. I'm good, I'm good.",Oscar
"Okay, okay. [gasping]",Creed
Creed.,Oscar
"Remember on that animated special when they taught the uh, the monster to put the star on top? That's Dwight. Dwight's the monster that we taught to put the star on top of the tree. You take his teeth out, and he could put the star on top of the tree.",Michael
Do you want me to help you with that?,Pam
Yeah.,Phyllis
Phyllis and Angela and Meredith are helpers. I guess Angela's kind of... Angela's little. Phyllis and Meredith are not little. Pam is sort of a medium helper.,Michael
Okay. Christmas lights? Good. Tinsel? Good. Star? Good.,Dwight
"Dwight is... Dwight looks like Spock to me. He always wears the ears, and I always give him grief about looking like Spock, and he hates it because he has a different pair of ears that he wears to be Spock, for some reason.",Michael
"Question, Pam. Is Roy coming to the party?",Dwight
Yes.,Pam
"Okay, well, you didn't tell me that. Now, he will not be allowed in unless we register him on this list.",Dwight
Are you kidding?,Pam
"Do I look like I'm kidding? [Pam shakes her head 'no'] Phyllis, stag, I assume.",Dwight
I'm bringing someone.,Phyllis
Really?,Dwight
I invited someone to the party. Bob Vance. He works at Vance Refrigeration next door. That's how we met. [whispers] He's my boyfriend.,Phyllis
"Everyone, please remain calm until we receive further instructions.",Dwight
"Just let us open up the presents, Dwight.",Pam
Absolutely... not.,Dwight
"What separates humans from jungle beasts? The fact that we have rules. When humans give each other gifts, they do it properly and orderly. When bears give each other gifts they just rip open a fox carcass and present it to their mate. I prefer the human way.",Dwight
"Man, I really wanted that. I really wanted the shower radio, too.",Oscar
"Well, thank God you didn't steal my oven mitt. And Oscar, you little gourmand, your turn.",Michael
I'll take the tea pot.,Oscar
Damn it.,Meredith
"So, I guess, you really didn't want the shower radio that bad. No, I just like tea.",Kelly
"No, I just like tea.",Oscar
"I don't know why Oscar didn't like the gift. I know he wanted a shower radio. I mean, I totally remember him telling me that he wanted one.",Kelly
"Kelly had me last year, too, and she gave me the same exact thing. I only have one shower.",Oscar
"Oscar, paint ball pellets.",Michael
I guess I'll take the last gift. Cool.,Oscar
"It was supposed to be for Meredith, 'cause she said she likes my drawings.",Pam
Thanks. I wish I could've had it. Do you wanna trade?,Meredith
Yeah. Like anybody would want an oven mitt. [Phyllis gets up and leaves the party],Michael
"So, hey, you wanna trade?",Toby
"Yes, totally, 'cause I was just gonna throw this out anyway.",Kelly
Really? You were gonna throw out a book?,Toby
Mmm-hmm.,Kelly
"[Rap music playing] [singing] The time is now, the place is here And the whole wide world is filled with cheer My name's DMC with the mike in my hand And I'm chilling and cooling just like a snow man",Kevin
Yeah.,Darryl
[singing] So open eyes Lend us an ear We wanna say Merry Christmas and Happy New Year [Darryl whooping] Yeah.,Kevin
I'm the DJ because I really know how to heat up a party.,Kevin
"I do enjoy a drink now and again, but tonight, no. I am also an officer of the law and I'm unofficially on the clock. I need to stay sober and alert. Also, on a personal note, I'm not at my best when I drink.",Dwight
I actually got that for you. I had you originally.,Ryan
"Oh, cool. It looks really interesting. What did you end up with? [Ryan pulls Creed's old coat out of a bag] Sorry.",Toby
"I didn't want anything else, so I figured at least I could give it to a homeless guy.",Ryan
Christmas.,Toby
"Yeah, Christmas.",Ryan
What did you end up with?,Oscar
Your shower radio.,Creed
You like music at least?,Oscar
I love it. I actually used to have a radio show back in the '70s.,Creed
You're kidding. What was your DJ name?,Oscar
Whacky-weed Creed.,Creed
Turns out that Creed is a pretty interesting guy.,Oscar
You behaved very badly tonight.,Angela
Sorry?,Kelly
"See, that's what Christmas is all about to me, is when you see someone open a gift and you think, 'Man, I wish I got that.' I mean, that's just such a great feeling, to watch other people envying a gift that you gave to somebody else. I don't know, it's just... I don't know, just makes you kind of feel good.",Michael
Hey.,Jim
Hello. Jim?,Dwight
"What's up, buddy?",Jim
This is not funny. Why is my stuff in here?,Dwight
"Wow, that's weird. Oh, dollar for a stapler, that's pretty good.",Jim
"Yeah, well, I'm not paying for my own stuff, okay? I know you did this, because you're friends with the vending machine guy.",Dwight
"Who, Steve?",Jim
"Yeah, Steve, whatever his name is.",Dwight
"Sorry. What do I want? What do I want... Oh, it's a pencil cup.",Pam
"No, no, no, no, no. That's my pencil cup.",Dwight
"Um, I don't think so, I just bought it.",Pam
"Uh, I think so, and you're going to hand it over to me.",Dwight
I love these.,Pam
"Okay, fine. Where's my wallet?",Dwight
"Oh, there it is. J1.",Jim
But I don't have any...,Dwight
"Here, you know what? You can have some nickels.",Jim
"[putting quarters in] Five, ten, fifteen, twenty, twenty-five...",Dwight
"Hello, everyone.",Michael
"Good morning, Michael.",Dwight
Where are we going this afternoon?,Phyllis
Ah! Ha ha ha!,Michael
"Last week, Michael sent out this mysterious memo.",Pam
"It's time for our first quarter camaraderie event, so pack a swimsuit, a toothbrush, rubber-soled shoes, and a ski mask.'",Jim
A ski mask and a swimsuit.,Pam
"So that he can have us rob a bank, and then escape through the sewers.",Jim
And brush our teeth.,Pam
Yeah?,Michael
Michael.,Stanley
Stanley! Bo banley.,Michael
I need to know...,Stanley
Banana fana fo fanley.,Michael
What we're doing.,Stanley
Be my mo manley.,Michael
You said bring a toothbrush.,Stanley
Stanley.,Michael
Is this an overnight?,Stanley
"Maybe. The suspense is just so exciting, isn't it?",Michael
Should my wife tell her boss she's not coming in tomorrow?,Stanley
"Maybe, I don't know.",Michael
Not maybe. Yes or no.,Stanley
"Well, no. But... okay, don't spoil it for everybody, all right? But we are going on a booze cruise on Lake Wallenpaupack.",Michael
In January?,Stanley
It's cheaper.,Michael
This is not just another party. This is a leadership training exercise. Right? I'm going to combine elements of fun and motivation and education into a single mind-blowing experience.,Michael
It is now time to unveil the destination of this year's retreat. We are going on a harbor cruise of Lake Wallenpaupack. It's a booze cruise!,Michael
All right!,Meredith
I have a test for business school tomorrow night. Is it okay if I skip the cruise and study for that?,Ryan
"No. This is mandatory. But don't worry, you know what? You're gonna learn plenty. This is gonna turn your life around, Ryan.",Michael
I'm already in business school.,Ryan
"Well, this...",Michael
"Wait, Michael?",Kelly
Yeah?,Michael
Why did you tell us to bring a bathing suit?,Kelly
To throw you off the scent.,Michael
"Yeah, but I bought a bathing suit.",Kelly
"Well, just keep the tags on and you can return it.",Michael
I took the tags off already.,Kelly
"Well, that's not my fault, okay? Just.. we're not going to pay for a bathing suit. Okay, I know what you're all thinking, 'Who is this smart little cookie?' Her name is Brenda... something, and she is from corporate. And she is here, like you, to learn from what I have to say.",Michael
"I am a great motivational speaker. I attended a Tony Robbins event by the airport last year, and... it wasn't the actual course. You have to pay for the actual course. But it talked about the actual course. And I've incorporated a lot of his ideas into my own course.",Michael
"Leader... ship. The word 'ship' is hidden inside the word 'leadership,' as its derivation. So if this office is, in fact, a ship, as its leader, I am the captain. But we're all in the same boat. Teamwork!",Michael
"Last year, Michael's theme was 'Bowl over the Competition!' So guess where we went.",Oscar
"Now, on this ship that is the office, what is a sales department? Anyone?",Michael
How about the sales department is the sails?,Darryl
"Yes, Darryl, the sales department makes sales. Good. Let me just explain. I see the sales department as the furnace.",Michael
A furnace?,Phyllis
"Yeesh, how old is this ship?",Jim
How about the anchor?,Pam
What does the furnace do?,Phyllis
"All right, let's not get hung up on the furnace. This just... it's the sales... I see the sales department down there. They're in the engine room, and they are shoveling coal into the furnace, right? I mean, who saw the movie Titanic? They were very important in the movie Titanic. Who saw it? Show of hands!",Michael
I'm not really sure what movie you're talking about. Are you sure you got the title right?,Jim
Titanic?,Michael
I think you're thinking of The Hunt for Red October.,Pam
"No, I'm Leo DiCaprio! Come on!",Michael
"Michael stands in the front of the boat and says that he's king of the world within the first hour, or I give you my next paycheck.",Jim
"Michael, everyone in the engine room drowned.",Phyllis
"No! Thank you, spoiler alert. You saw the movie, those of you who did. They're happy down there in the furnace room. And they're dirty and grimy and sweaty, and they're singing their ethnic songs, and... actually, that might be warehouse.",Michael
What?,Darryl
"The... no, no. No, I didn't... okay. Well, okay, in a nutshell, what I'm saying is... leadership. We'll talk more about that on the boat. Ship.",Michael
"Aye aye, Captain.",Dwight
"[singing] A three-hour tour, a three-hour tour.",Michael
"Pam, you are Mary Ann! We have the Professor and Ginger, welcome aboard. Angela, you are Mrs. Howell. Lovey. [to Kelly] Uh... the native. Sometimes they come from neighboring... [to Stanley] We have one of the Globetrotters, I am the Skipper, and Dwight, you will be Gilligan.",Michael
Cool.,Dwight
"Actually, I'm the Skipper. But you can be Gilligan.",Captain Jack
"I'd rather die. Hi, I am Michael Scott, I am the captain of this party.",Michael
"I am Captain Jack, I am captain of the ship. I'm also captain of anyone who sets foot on the ship. [to boarding passengers] Hi, welcome aboard.",Captain Jack
Okay.,Michael
"In an office, when you are ranking people, manager is higher than captain. On a boat, who knows? It's nebulose.",Michael
"Hey, look! I'm king of the world!",Michael
"Okay, all right! Welcome aboard! I am your captain, Captain Jack.",Captain Jack
"And I am the regional manager of Dunder-Mifflin, Michael Scott. Welcome, welcome!",Michael
Okay! So...,Captain Jack
Okay! So...,Michael
Please. The life preservers.,Captain Jack
Right.,Michael
"They are located underneath the seats, all along the border of the boat.",Captain Jack
"But don't worry, you are not going to be needing life preservers tonight.",Michael
"Well, we might, okay? Please let me finish, okay? Thank you. So, the Coast Guard requires that I tell you where the safety exits are. On this ship, it's very easy. Anywhere over the side. [Dwight laughs loudly.] Not only am I your ship captain, I am also your party captain! Whoo! We're gonna get it going in just a few minutes here...",Captain Jack
I'm your party captain too! And you are gonna put on your dancing shoes later on! So we are gonna...,Michael
"Okay, Michael, if you don't mind...",Captain Jack
Rock it!,Michael
"Please, okay?",Captain Jack
"If the boat's a-rockin', don't come knockin'!",Michael
Michael.,Captain Jack
Yep.,Michael
"Your company's employees are not the only people on the boat tonight, okay?",Captain Jack
We're all gonna have a good time tonight!,Michael
Why don't you let me and my crew do our job. You just sit back and have a good time. All right?,Captain Jack
Hm? Okay. Yep.,Michael
"You guys, it's like we're in high school and we're at the cool table. Right?",Katy
Yeah.,Roy
"Pam, were you a cheerleader?",Katy
"No, she was totally Miss Artsy-Fartsy in high school. She wore the turtleneck and everything!",Roy
That's hilarious.,Katy
"It's not hilarious, but...",Jim
Where did you go to school?,Roy
Bishop O'Hara.,Katy
"Piss slop who cares-a? We played you! You... you really look familiar. Did you... you cheered for them, didn't you?",Roy
"Um, no.",Jim
"Yes, I did! [chanting] A-W-E-S-O-M-E! Awesome! Awesome is what we are! We're the football superstars! A-W-E-S-O-M-E!",Katy
I remember that! We crushed you like 42-10!,Roy
Having fun?,Michael
Yeah. Everybody's really nice.,Brenda
"Good. Well, that is what Scranton is all about. Not like you New Yawkers.",Michael
When are you going to start the presentation?,Brenda
"Well, we already sort of started it back at the office and on the dock with the Gilligan thing, so... right now, I was thinking. Yes. Okay, listen up all you Dunder-Mifflinites! I would like to talk to you all about life preservers. Now, one important life preserver in business is IT support.",Michael
"Not now, Mike, we're doing the limbo! That's right, partiers, it's time to limbo, limbo, limbo!",Captain Jack
"So, okay.",Michael
"Limbo, whoo!",Dwight
All right! I need a volunteer to come up here and hold my stick. Who's it gonna be?,Captain Jack
Me.,Meredith
Okay...,Captain Jack
"Me! Me, me, me.",Dwight
Uh... usually it's a woman.,Captain Jack
I'm stronger.,Dwight
"Hey, I got an idea! How would you like to steer the ship, Dwight?",Captain Jack
Keep us on a steady course. Keep a sharp eye out. I'm counting on you!,Captain Jack
"I was the youngest pilot in Pan Am history. When I was four, the pilot let me ride in the cockpit and fly the plane with him. And I was four. And I was great. And I would have landed it, but my dad wanted us to go back to our seats.",Dwight
"All right, all right, that was great! Now it's time for the dance contest!",Captain Jack
"But before that, I have to do my presentation.",Michael
Nope! Dance contest!,Captain Jack
"All right, we'll have a motivational dance contest! Hit it! Yeah, okay, dancing! It is a primal art form used in ancient times to express yourself with the body and communicate!",Michael
Sometimes you have to take a break from being the kind of boss that's always trying to teach people things. Sometimes you have to just be the boss of dancing.,Michael
[singing] What do you do with a drunken sailor? What do you do with a drunken sailor? What do you do with a drunken sailor early in the morning?,Dwight
"Hey, come inside and talk to me.",Angela
"I can't. Do you want us to run aground, woman?!",Dwight
[chanting] Snorkel shot! Snorkel shot!,Darryl and Katy
"Whoo! Who's next? Come on, Pam! Come on! Come on!",Roy
"No, I'm not going to do that.",Pam
Come on!,Roy
That's what I'm talking about!,Darryl
"Hey, why don't we find like a quieter place to hang out?",Pam
I've just gotta wait for Darryl to do his shot. Just a minute. Come on! [chanting] Darryl! Darryl!,Roy
It's getting kind of rowdy down there.,Pam
Yeah. [chanting] Darryl! Darryl! Darryl!,Jim
Sometimes I just don't get Roy.,Pam
Well...,Jim
"I mean, I don't know. So... what's it like dating a cheerleader?",Pam
"Oh, um... [A long silence.]",Jim
I'm cold.,Pam
"So, what's this presentation all about?",Captain Jack
"Ah! See, this is of general interest. It is about priorities and making decisions, using the boat as an analogy. What is important to you? If the boat is sinking, what do you save?",Michael
Women and children.,Captain Jack
"No, no. Salesmen and profit centers.",Michael
That's a stupid analogy.,Captain Jack
"Okay, well, obviously you don't know anything about leadership.",Michael
"Well, I was the captain of a PC-1 Cyclone Coastal Patrol Boat during Desert Storm.",Captain Jack
Wow. You should be the motivational speaker.,Dwight
Okay.,Michael
"Yeah. He gives me real responsibility, Michael. Captain Jack delegates. He's let me steer the ship for the last hour.",Dwight
I'd like to be engaged. How did you manage to pull that off?,Katy
"Uh, I've been engaged for three years, and there's no end in sight. So... you don't wanna ask my advice.",Pam
"Suppose your office building's on fire. Jim, who would you save?",Captain Jack
"Um... let's see, uh... The customer. Because the customer is king.",Jim
"Not what I was looking for, but a good thought.",Michael
He's just sucking up!,Captain Jack
"When you were in the Navy, did you ever almost die?",Roy
"Oh yeah, oh yeah. And I wasn't thinking about some customer. I was thinking about my first wife. The day I got back on shore, I married her.",Captain Jack
You know what? I would save the receptionist. I just wanted to clear that up.,Jim
"Hello, everybody, could I have your attention for just a second? Could you listen to me for a second? We were up at the front, and we were talking about what's really important, and... Pam, I think enough is enough. I think we should set a date for our wedding. How about June 10th? Come on, let's do it! Come on, Pam!",Roy
"I don't want to take credit for this, but Roy and I were just having a conversation about making commitments and making choices. Right? Did I motivate you?",Michael
"No, it was Captain Jack.",Roy
"Well... could have been either one of us, because we were pretty much saying the same thing. Congratulations. That is great!",Michael
"We gotta celebrate! Hey, I got an idea, I got an idea. I can marry you right now, as captain of the ship!",Captain Jack
Yes! I can marry you as regional manager of Dunder-Mifflin!,Michael
"No, no, I want my mom and dad to be there.",Pam
Then I'll give you away!,Michael
"No, thank you.",Pam
Do you think that'll ever be us?,Katy
No.,Jim
What is wrong with you? Why did you even bring me here tonight?,Katy
I don't know. Let's break up.,Jim
Whoa. What?,Katy
This is where Captain Jack drives the boat.,Captain Jack
Wow!,Meredith
Seasick? Captain Jack says you should look at the Moon.,Dwight
Captain Jack is a fart face. I'm on medication.,Michael
Really? What?,Brenda
"Vomicillin. Okay. All right. It's time to be boss. It's time to motivate. Let's blow some minds here. Okay, guys, guys, cool it. Everybody, Dunder-Mifflin Scranton employees, Brenda, I have some very, very urgent news I need to tell everybody right now. Listen up. The ship is sinking! Okay? We're going down, right now. Just wrap your heads around the reality of that. Shh, please! Everybody, it's my turn now, okay? Captain Jack is gone. In five minutes, this ship is going to be at the bottom of the lake! And there aren't enough spaces on the lifeboat! Who are we gonna save? Do we save sales? Do we save customer service? Do we save accounting? This is a business scenario. Right? It's a scary... it's a...",Michael
Hey! Hey! What the hell is going on here?,Captain Jack
"It's a predicament, and it's something that each and every one of us has to think about.",Michael
"I'm in the brig. See? The boat's not as corporate-friendly as advertised. What was the deal with the guy jumping overboard? What was... if he had just waited and heard what I had to say, he would be motivated right now and not all wet.",Michael
Is somebody there?,Michael
What happened to you?,Jim
Captain Jack has a problem with authority.,Michael
"Oh, right, because you announced that his ship was sinking?",Jim
"He just totally lost it. If you ask me, he caused the panic.",Michael
What a night.,Jim
"Well, it's nice for you. Your friend got engaged.",Michael
She was always engaged.,Jim
Roy said the first one didn't count.,Michael
"That's... great. You know, to tell the truth, I used to have a big thing for Pam, so...",Jim
"Really? You're kidding me. You and Pam? Wow. I would have never have put you two together. You really hid it well. God! I usually have a radar for stuff like that. You know, I made out with Jan...",Michael
"Yeah, I know.",Jim
"Yeah? Yep. Well, Pam is cute.",Michael
"Yeah. She's really funny, and she's warm. And she's just... well, anyway.",Jim
"Well, if you like her so much, don't give up.",Michael
She's engaged.,Jim
BFD. Engaged ain't married.,Michael
Huh.,Jim
"Never, ever, ever give up.",Michael
"Don't worry, Michael. I'm taking us to shore.",Dwight
"It's a fake wheel, dummy.",Michael
Are you all packed?,Phyllis
"Yes, I brought my duffel bag and a sleeping bag.",Kelly
Where do you guys think we're going?,Oscar
Definitely some place you can swim.,Kelly
Right.,Oscar
Maybe Florida.,Phyllis
Did you hear something?,Kelly
[knocking] Yeah.,Michael
"Hello, Michael.",Jan
Hello.,Michael
Can we come in?,Jan
"Of course, yeah, yeah, yeah.",Michael
Thank you very much.,Jan
Have a seat.,Michael
Brenda.,Jan
"Oh, every man's dream.",Michael
"Oh, really? A surprise visit from his boss?",Jan
"Two ladies at once. What? Why are you looking at me like that? Okay, you heard something. Um, yeah, it's a booze cruise, but it... There's more to the story than that. It...",Michael
A booze cruise? What do you mean?,Jan
"Leadership off-site. Uh, booze cruise is just a rhyme...",Michael
"Michael, we discussed the IRS's regulations.",Jan
"Yeah, I don't even know why I said booze cruise. I don't even think there's booze on the boat.",Michael
"Okay, this event has to have legitimate business content to be tax deductible.",Jan
Of course.,Michael
We discussed that.,Jan
"Of course, of course. Yes. Yes. Look, I have a whole program planned. Jan, this program is going to change people's lives. I am going to be dropping serious knowledge all over the boat.",Michael
Good. This is Brenda Matlow from corporate training.,Jan
Hello.,Michael
"I thought she could attend tonight, and if your event is appropriate, you could give it to other branches.",Jan
"Oh, cool. Cool. And maybe you could attend tonight and then you could stay over at my house for the night. Awkward. That's... You know what. Brenda, could Jan and I have a moment alone?",Michael
Jan said if you asked me that I was supposed to say no.,Brenda
"Really? You seriously said that? Okay. Brenda, could Jan and I have a moment alone?",Michael
Sure...,Brenda
Brenda.,Jan
Thanks.,Michael
"I mean, no.",Brenda
"Okay, you know, I'm gonna go now, and...",Jan
"Oh, okay.",Michael
"Good luck, Brenda.",Jan
I'll see you later.,Michael
"Okay, see you later. And try to be professional.",Jan
I'll call you later.,Michael
"No, that's all right.",Jan
That's like...,Michael
"You call me if you need anything, Brenda.",Jan
"I'll call you, too. [to Brenda] So. You are probably gonna get carded, so I can make you a fake ID. We have a laminating machine.",Michael
"What is a sales department? Oscar, what do you think?",Michael
I don't know what the categories are of workers on a boat.,Oscar
I'm not giving you the answer. Deck hands is one. And...,Michael
"Oh, oh, can I be the first mate?",Dwight
"No, I'm first mate. You're second mate. I'm first mate, as the captain.",Michael
How about the anchor?,Pam
"Well, the anchor is the only thing that kind of slows the ship down. Toby is the anchor. Oh, God. He, well... [to Brenda] Tell you about Toby later, he's awful.",Michael
"Yeah, I know Toby from Jan's birthday.",Brenda
"Hey, Brenda.",Toby
"Oh, hey, Toby. So... It's an analogy.",Michael
[Toby running to get on the cruise] Hey! What's wrong with you? You missed the boat.,Michael
I got lost.,Toby
Idiot.,Michael
We can go back.,Captain Jack
"No, no, no. That's his punishment for not being here on time. Too bad, anchor!",Michael
I guess I shouldn't have stopped for dinner.,Toby
